policy_id,age,customer_months,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud
140320,25,80,2025-09-23,A,500/1000,500,825.53,0,455180,MALE,JD,farming-fishing,skydiving,husband,0,-52326,2026-03-09,Multi-vehicle Collision,Rear Collision,Major Damage,Police,S7,Arlington,16,3,YES,1,3,?,57792.15,3524,7271,28611,Ford,F150,2011,1
496283,37,201,2012-02-14,C,250/500,1000,1132.57,0,618340,MALE,High School,armed-forces,kayaking,own-child,0,0,2026-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S2,Springfield,11,3,?,1,3,YES,64768.950000000004,5550,5605,39698,Audi,A3,2026,0
530331,28,65,2012-09-13,C,100/300,1000,1174.28,0,467185,FEMALE,College,adm-clerical,exercise,wife,44720,-42330,2026-02-08,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S3,Arlington,17,1,?,1,2,YES,55867.05,3648,7040,31615,Chevrolet,Silverado,2015,0
573487,55,412,2003-07-10,B,250/500,1000,1525.08,0,463023,FEMALE,College,protective-serv,exercise,other-relative,0,0,2026-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,S4,Springfield,23,3,?,0,0,?,54311.850000000006,3478,3373,32853,Volkswagen,Passat,2018,0
715821,36,8,2024-12-01,A,100/300,2000,1213.7,0,638541,MALE,Masters,sales,polo,own-child,0,0,2025-12-16,Multi-vehicle Collision,Rear Collision,Major Damage,Other,S7,Arlington,16,3,NO,1,3,YES,93339.0,17110,11528,45056,Ford,Escape,2017,1
367217,47,283,2008-02-06,A,500/1000,1000,1410.6,0,450047,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,2026-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,S3,Riverwood,22,3,NO,1,3,?,124877.70000000001,14813,15658,60400,BMW,X5,2020,0
917874,59,453,2003-09-28,C,100/300,2000,1132.53,0,458733,FEMALE,MD,transport-moving,movies,other-relative,57482,0,2026-02-17,Multi-vehicle Collision,Side Collision,Major Damage,Other,S3,Hillsdale,12,4,YES,0,0,NO,83677.05,10278,10614,41701,Accura,MDX,2010,1
1013199,39,186,2025-11-17,B,250/500,500,1432.24,0,491615,FEMALE,College,other-service,camping,wife,0,0,2026-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,S1,Northbrook,10,3,NO,0,3,NO,73589.85,4955,10150,42848,BMW,M5,2022,0
864532,44,257,2025-11-28,A,100/300,500,1227.23,0,475409,FEMALE,MD,prof-specialty,golf,unmarried,56813,-62976,2026-01-25,Single Vehicle Collision,Rear Collision,Total Loss,Fire,S3,Hillsdale,11,1,NO,0,0,?,87350.40000000001,10925,5560,46597,Nissan,Ultima,2008,0
117578,49,303,2015-06-23,A,100/300,2000,1302.07,0,630452,MALE,MD,armed-forces,polo,unmarried,0,0,2026-02-11,Multi-vehicle Collision,Side Collision,Major Damage,Other,S7,Northbrook,18,3,YES,2,1,YES,93336.3,13606,7224,46174,Ford,F150,2006,1
407344,26,21,2018-07-12,A,100/300,1000,1284.22,0,446733,MALE,PhD,craft-repair,skydiving,not-in-family,68711,0,2026-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,S1,Arlington,3,1,YES,1,2,NO,109815.75,15196,7503,55837,Chevrolet,Silverado,2006,0
592785,55,413,2007-10-13,B,500/1000,500,1413.89,0,620671,MALE,High School,tech-support,camping,wife,0,-50338,2026-01-29,Parked Car,?,Minor Damage,,S1,Springfield,3,1,YES,1,3,?,3464.1000000000004,499,496,1728,Volkswagen,Passat,2011,0
178020,44,312,2007-05-30,B,500/1000,500,1298.82,0,471425,FEMALE,MD,prof-specialty,exercise,not-in-family,25345,0,2026-03-19,Single Vehicle Collision,Rear Collision,Total Loss,Other,S3,Hillsdale,0,1,?,2,3,?,92993.40000000001,12319,6709,53011,Saab,92x,2009,1
510651,22,11,2005-11-22,B,500/1000,1000,1153.1,0,452744,FEMALE,PhD,tech-support,paintball,other-relative,52839,0,2026-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,S1,Riverwood,13,3,NO,2,1,?,68878.35,5669,6167,39642,Nissan,Ultima,2022,0
374764,44,273,2013-03-08,A,250/500,500,1272.06,0,570397,MALE,PhD,adm-clerical,sleeping,unmarried,50078,0,2026-02-13,Parked Car,?,Minor Damage,,S5,Northbend,0,1,NO,1,3,YES,2482.65,468,0,1370,Chevrolet,Tahoe,2022,0
152802,61,433,2014-04-17,C,100/300,500,1257.34,6000000,478343,MALE,PhD,craft-repair,dancing,unmarried,54283,-39925,2026-01-01,Single Vehicle Collision,Front Collision,Major Damage,Fire,S5,Springfield,0,1,YES,0,0,?,98185.5,14461,6853,47579,Ford,F150,2026,1
541044,44,284,2004-07-06,A,100/300,1000,1495.48,6000000,436543,MALE,College,priv-house-serv,camping,other-relative,0,0,2025-12-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,S2,Northbrook,21,3,NO,1,0,NO,82718.55,9195,9306,42336,BMW,X6,2010,0
348388,31,111,2022-08-21,C,250/500,500,1296.22,7000000,469787,FEMALE,High School,tech-support,paintball,not-in-family,42618,-92203,2026-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Fire,S2,Springfield,12,1,YES,0,1,NO,116251.20000000001,14352,14338,62348,Audi,A5,2020,1
407443,36,202,2023-07-03,A,500/1000,500,1536.74,0,612250,FEMALE,MD,tech-support,hiking,own-child,39590,-32901,2026-03-23,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S1,Northbend,8,1,?,1,3,YES,82378.35,6216,6152,50488,Toyota,Highlander,2011,0
950548,31,172,2008-01-11,A,500/1000,2000,1264.13,0,446854,FEMALE,PhD,priv-house-serv,movies,own-child,0,0,2026-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Fire,S1,Arlington,10,1,?,0,1,?,69677.55,6130,5988,42869,Suburu,Impreza,2017,0
698640,35,151,2024-04-04,C,500/1000,2000,1427.55,0,578764,FEMALE,Masters,armed-forces,chess,own-child,0,0,2026-02-16,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,S2,Columbus,11,3,?,0,1,?,73010.70000000001,6052,6302,44466,Ford,Fusion,2026,1
586085,36,189,2008-02-22,B,100/300,1000,1203.52,0,431126,FEMALE,Masters,exec-managerial,movies,wife,0,-39332,2025-12-21,Single Vehicle Collision,Rear Collision,Total Loss,Other,S3,Springfield,19,1,NO,0,0,?,102789.0,14753,7705,55228,Mercedes,C300,2011,0
820477,60,460,2020-06-02,B,250/500,1000,1265.16,0,497473,MALE,High School,adm-clerical,paintball,own-child,46505,0,2026-03-23,Parked Car,?,Minor Damage,,S4,Northbend,5,1,YES,1,3,NO,6496.200000000001,901,470,3309,Dodge,Neon,2018,1
210761,45,232,2005-10-22,A,250/500,2000,1132.01,0,449551,MALE,College,other-service,exercise,wife,26728,0,2026-01-24,Single Vehicle Collision,Rear Collision,Major Damage,Fire,S1,Northbend,22,1,?,1,1,YES,74266.20000000001,5445,10747,40331,Jeep,Grand Cherokee,2013,1
682880,41,57,2007-07-02,B,250/500,500,1346.08,0,451499,FEMALE,Associate,adm-clerical,chess,not-in-family,0,0,2026-02-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,S1,Columbus,13,1,?,1,2,YES,83176.20000000001,11347,11124,38582,BMW,X5,2009,0
363856,40,216,2007-12-13,C,100/300,500,1319.38,0,623381,MALE,PhD,transport-moving,polo,husband,65291,0,2025-12-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,S4,Northbrook,22,1,?,1,1,NO,52050.600000000006,8022,4040,24847,Chevrolet,Silverado,2006,0
148740,36,141,2019-03-07,A,100/300,1000,1475.15,0,451716,FEMALE,High School,craft-repair,chess,wife,0,-41698,2025-12-30,Parked Car,?,Trivial Damage,,S2,Columbus,5,1,?,0,2,YES,3956.8500000000004,516,268,2119,Chevrolet,Tahoe,2008,1
823544,37,151,2004-11-04,C,500/1000,2000,1278.28,6000000,445319,FEMALE,Associate,sales,reading,other-relative,24001,-15163,2026-03-06,Parked Car,?,Minor Damage,,S5,Arlington,7,1,NO,0,0,?,9779.400000000001,703,1482,5361,Dodge,Neon,2025,0
324631,37,219,2010-11-07,B,100/300,1000,882.98,7000000,457711,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68874,-21876,2026-02-11,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Riverwood,0,1,?,1,3,NO,95261.40000000001,14647,14721,45454,Accura,TL,2013,1
491656,33,164,2024-12-06,A,100/300,1000,1770.8,3000000,439277,MALE,JD,prof-specialty,movies,unmarried,0,0,2026-03-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Springfield,4,3,NO,0,1,NO,47025.9,3803,7039,24639,Volkswagen,Jetta,2009,0
382035,35,150,2016-08-22,C,250/500,500,670.84,0,593129,FEMALE,PhD,craft-repair,skydiving,wife,0,-60960,2026-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Fire,S3,Columbus,3,1,?,0,1,NO,141093.90000000002,15626,16854,69738,Dodge,RAM,2010,0
308676,43,283,2001-03-16,B,100/300,500,1441.05,0,623155,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,2026-01-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Northbend,21,3,NO,1,0,NO,130316.85,16614,8366,68296,Mercedes,ML350,2016,0
1020232,59,428,2003-11-25,C,100/300,2000,1362.22,0,469873,MALE,College,adm-clerical,sleeping,unmarried,42785,-64640,2026-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Police,S2,Northbrook,10,3,NO,0,0,NO,86814.45000000001,5991,12082,45102,Jeep,Wrangler,2023,0
269470,31,158,2024-11-13,A,100/300,2000,1261.03,0,438284,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-39178,2026-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,S2,Hillsdale,0,1,?,0,0,?,46635.75,3598,7028,24451,Suburu,Legacy,2023,0
112082,47,370,2016-12-26,B,250/500,500,1187.55,4000000,611678,MALE,Associate,sales,board-games,wife,51039,-73660,2026-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S1,Columbus,17,3,?,1,1,NO,79803.90000000001,6282,6282,43314,Mercedes,E400,2006,0
474980,32,27,2008-01-30,B,100/300,500,1450.2,0,585487,FEMALE,PhD,other-service,golf,own-child,0,0,2026-02-13,Single Vehicle Collision,Front Collision,Total Loss,Police,S3,Arlington,21,1,NO,1,1,YES,37357.200000000004,2822,2653,23223,Toyota,Camry,2023,0
983471,30,66,2014-07-14,C,500/1000,500,500.17,0,616825,FEMALE,College,adm-clerical,paintball,wife,21543,-59158,2026-01-21,Multi-vehicle Collision,Front Collision,Major Damage,Fire,S2,Arlington,2,3,?,0,2,YES,89390.25,11896,11657,39842,Volkswagen,Passat,2026,1
567730,28,124,2002-12-20,A,500/1000,1000,1029.23,0,474861,FEMALE,JD,farming-fishing,movies,other-relative,0,-40194,2025-12-28,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,S2,Hillsdale,21,2,YES,2,1,NO,110300.40000000001,12870,13027,57800,Ford,Fusion,2021,0
438117,32,186,2015-05-18,B,250/500,1000,1251.92,0,472643,MALE,JD,other-service,hiking,not-in-family,0,0,2026-01-25,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Northbend,11,1,?,2,1,YES,80014.5,11183,5785,39595,Nissan,Pathfinder,2008,0
941269,31,158,2018-08-01,C,100/300,2000,1424.72,0,636000,FEMALE,College,craft-repair,skydiving,husband,67124,-36051,2026-03-13,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,S1,Columbus,23,3,YES,2,0,NO,58527.9,8070,4063,32444,Mercedes,C300,2015,1
482180,29,109,2018-06-14,A,250/500,1000,1201.4,0,430976,FEMALE,Masters,protective-serv,dancing,husband,0,-34144,2026-02-02,Vehicle Theft,?,Minor Damage,,S3,Arlington,3,1,NO,0,3,YES,6393.6,538,518,3672,Chevrolet,Malibu,2024,0
515967,56,389,2003-09-18,C,100/300,1000,1360.92,0,449134,MALE,High School,protective-serv,exercise,other-relative,0,-22803,2026-01-20,Multi-vehicle Collision,Front Collision,Major Damage,Other,S5,Columbus,22,3,YES,2,1,NO,68755.5,12228,5635,34339,Saab,93,2006,0
530500,62,470,2007-12-11,A,250/500,1000,742.43,0,612872,FEMALE,Associate,sales,kayaking,husband,0,0,2026-03-15,Parked Car,?,Minor Damage,Police,S3,Columbus,6,1,?,0,3,?,6809.400000000001,470,898,3554,Mercedes,E400,2018,0
924083,33,99,2008-08-07,C,250/500,500,1101.28,0,419482,MALE,High School,exec-managerial,kayaking,own-child,30592,-45848,2026-01-29,Multi-vehicle Collision,Rear Collision,Total Loss,Police,S1,Riverwood,23,3,YES,1,3,YES,88049.70000000001,9995,10239,42865,Volkswagen,Jetta,2017,1
666787,58,389,2011-01-20,C,500/1000,1000,1078.11,4000000,449493,MALE,MD,priv-house-serv,exercise,other-relative,43985,0,2026-01-22,Multi-vehicle Collision,Front Collision,Total Loss,Other,S1,Northbend,21,3,?,2,3,?,82528.20000000001,9850,10700,41205,Saab,93,2019,0
614347,44,295,2010-08-26,A,500/1000,2000,1156.3,0,461259,FEMALE,Associate,adm-clerical,hiking,own-child,75117,-39112,2026-01-29,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,S4,Northbend,15,1,NO,1,0,YES,70567.20000000001,6012,6264,42965,Toyota,Highlander,2007,0
138983,43,264,2020-07-28,B,100/300,500,963.86,0,444257,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39339,2026-02-08,Vehicle Theft,?,Trivial Damage,Police,S2,Riverwood,15,1,NO,1,3,NO,10782.45,1310,660,5731,Audi,A5,2019,0
856653,37,221,2021-02-11,C,250/500,500,1457.72,0,469099,FEMALE,PhD,craft-repair,camping,unmarried,0,0,2026-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,S2,Arlington,10,1,?,0,1,NO,97448.40000000001,6857,14663,51865,Volkswagen,Passat,2019,0
633593,43,333,2021-03-21,C,100/300,2000,854.79,6000000,592869,MALE,MD,tech-support,board-games,wife,0,-40226,2026-01-10,Single Vehicle Collision,Rear Collision,Minor Damage,Other,S6,Hillsdale,13,1,?,1,0,YES,111865.05,15776,15139,49383,Jeep,Wrangler,2022,0
133169,32,155,2013-03-11,C,100/300,1000,954.39,6000000,451151,MALE,JD,priv-house-serv,hiking,not-in-family,28164,0,2025-12-18,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Hillsdale,14,3,YES,2,0,NO,88176.6,5804,11271,46712,Suburu,Forrestor,2010,0
425311,38,61,2022-10-16,B,250/500,2000,750.15,0,453713,MALE,College,protective-serv,golf,other-relative,65548,-31847,2026-02-08,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,S7,Springfield,0,3,?,0,2,NO,66347.1,5964,11918,35273,BMW,X5,2021,0
144826,37,253,2012-06-09,A,250/500,500,1499.02,0,463803,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,36366,0,2026-01-15,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S3,Springfield,17,3,YES,0,3,NO,39000.15,2850,5713,19976,Audi,A3,2021,0
854781,24,63,2010-12-20,A,250/500,1000,1068.05,0,469324,FEMALE,College,sales,dancing,wife,0,-74272,2025-12-27,Single Vehicle Collision,Side Collision,Major Damage,Other,S1,Arlington,14,1,NO,1,0,YES,67343.40000000001,6425,6877,40832,Accura,MDX,2016,1
276319,28,72,2014-11-07,B,250/500,1000,1340.92,0,634448,MALE,High School,machine-op-inspct,yachting,husband,64915,-57915,2026-01-14,Multi-vehicle Collision,Side Collision,Minor Damage,Police,S3,Arlington,14,4,NO,1,0,YES,44776.8,3555,3527,24122,Toyota,Camry,2017,0
358075,33,153,2020-10-05,A,100/300,2000,596.74,0,420115,MALE,College,other-service,reading,other-relative,0,-51827,2026-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Other,S4,Columbus,14,3,?,1,2,NO,65218.50000000001,10535,5273,35631,Mercedes,E400,2024,1
884017,46,286,2019-07-30,C,250/500,1000,1343.17,0,491838,MALE,High School,exec-managerial,bungie-jumping,other-relative,0,-63303,2026-01-21,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S3,Northbend,20,3,YES,1,3,YES,72176.40000000001,6464,11918,35755,Audi,A5,2013,0
358735,30,117,2013-08-15,A,500/1000,1000,1173.53,0,501445,FEMALE,Masters,prof-specialty,sleeping,not-in-family,49464,-61553,2025-12-29,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Arlington,3,1,YES,2,0,NO,152365.05000000002,10800,20738,73868,Dodge,Neon,2008,1
216193,29,102,2005-09-11,A,500/1000,500,942.29,0,644995,MALE,Associate,prof-specialty,base-jumping,other-relative,70297,0,2026-02-01,Parked Car,?,Minor Damage,Police,S7,Columbus,5,1,NO,2,3,NO,10010.25,770,1551,4943,Accura,MDX,2016,0
763055,32,145,2008-01-27,C,250/500,500,1019.05,6000000,483683,FEMALE,PhD,prof-specialty,exercise,own-child,50031,0,2026-01-28,Single Vehicle Collision,Front Collision,Major Damage,Other,S1,Northbrook,4,1,?,0,0,?,87885.0,8402,0,61381,Toyota,Corolla,2024,1
623648,39,11,2004-06-16,B,250/500,2000,1518.57,0,417005,MALE,PhD,other-service,yachting,husband,56600,-45067,2026-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S3,Riverwood,22,1,YES,0,1,NO,88372.35,7397,7551,51886,Saab,93,2018,0
629861,61,498,2015-08-17,B,500/1000,500,1232.81,0,630268,FEMALE,Masters,handlers-cleaners,paintball,wife,0,-60095,2026-02-08,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Columbus,23,1,YES,0,2,?,86350.05,9870,10018,44683,Mercedes,E400,2009,0
823573,27,78,2003-08-28,C,250/500,1000,1169.07,0,605902,MALE,High School,handlers-cleaners,board-games,not-in-family,57494,-91001,2026-02-18,Multi-vehicle Collision,Front Collision,Minor Damage,Police,S2,Northbrook,23,3,NO,0,2,YES,105687.45000000001,6305,12703,62056,Volkswagen,Passat,2014,0
940445,31,77,2018-04-12,A,500/1000,500,1520.38,5000000,422429,FEMALE,Associate,priv-house-serv,movies,not-in-family,39261,-44000,2026-01-09,Vehicle Theft,?,Minor Damage,Police,S3,Northbrook,7,1,NO,2,1,NO,10395.0,1388,731,5869,Mercedes,E400,2006,0
524879,34,170,2000-12-25,C,100/300,500,1216.9,0,490058,FEMALE,Associate,other-service,polo,husband,36288,0,2026-02-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S5,Northbend,11,3,YES,1,1,?,100870.65000000001,0,14566,65992,Honda,Civic,2025,0
343404,32,130,2018-10-28,A,500/1000,1000,1173.67,2000000,428583,FEMALE,JD,priv-house-serv,sleeping,own-child,38168,-75088,2026-01-02,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,S3,Northbrook,21,1,YES,1,2,?,73992.15000000001,6851,7067,42285,Suburu,Legacy,2020,0
747664,27,68,2015-07-29,C,250/500,1000,1025.93,4000000,449423,FEMALE,Masters,adm-clerical,video-games,own-child,44942,0,2025-12-22,Vehicle Theft,?,Trivial Damage,Police,S3,Columbus,19,1,NO,2,3,?,6200.55,0,528,3799,Toyota,Camry,2011,0
367921,49,323,2014-01-20,B,500/1000,1000,948.12,0,435432,FEMALE,High School,sales,yachting,husband,0,0,2026-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,S1,Hillsdale,19,1,YES,0,0,NO,65766.6,8598,8812,32749,Chevrolet,Silverado,2006,0
733174,34,206,2007-08-31,B,100/300,500,1065.72,0,462533,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0,2026-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Northbend,1,1,YES,1,1,?,54035.100000000006,7328,6951,28251,BMW,X5,2022,0
441377,40,221,2016-12-12,B,500/1000,2000,849.77,0,427434,FEMALE,Associate,machine-op-inspct,skydiving,own-child,47260,0,2026-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Police,S2,Arlington,15,3,?,1,2,?,51900.75,0,4540,32911,Accura,RSX,2007,0
915023,39,260,2006-11-17,B,100/300,1000,1310.47,0,418937,FEMALE,Associate,other-service,camping,wife,72908,0,2026-02-19,Parked Car,?,Minor Damage,,S1,Hillsdale,6,1,NO,0,0,NO,4166.1,546,269,2269,Audi,A3,2023,0
408278,39,278,2018-02-12,C,250/500,1000,1581.86,0,589629,MALE,JD,machine-op-inspct,camping,other-relative,0,-55682,2026-01-04,Multi-vehicle Collision,Rear Collision,Total Loss,Other,S3,Riverwood,15,3,YES,1,1,NO,108841.05,16750,8832,58390,Chevrolet,Malibu,2018,0
719148,29,37,2014-01-28,B,250/500,2000,1416.1,0,440949,FEMALE,High School,handlers-cleaners,polo,husband,0,-16390,2026-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,S5,Northbend,14,3,?,1,0,NO,71571.6,10255,10497,31556,BMW,X6,2025,1
762557,41,237,2002-11-18,C,100/300,1000,1487.45,0,450579,MALE,JD,transport-moving,sleeping,own-child,0,0,2026-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S1,Springfield,19,3,?,2,0,?,72176.40000000001,4278,4503,42387,Audi,A3,2017,0
323923,37,227,2008-05-03,B,250/500,2000,1261.81,0,468424,FEMALE,MD,craft-repair,paintball,not-in-family,67830,0,2026-01-10,Multi-vehicle Collision,Side Collision,Major Damage,Other,S3,Columbus,14,3,YES,1,1,YES,95796.0,11906,5747,51776,Ford,Fusion,2006,0
283357,41,276,2009-07-25,B,500/1000,1000,742.28,0,452086,MALE,Associate,prof-specialty,movies,own-child,12838,-51141,2026-02-16,Single Vehicle Collision,Side Collision,Total Loss,Police,S2,Northbrook,12,1,YES,1,3,YES,98010.0,7586,7618,56301,Jeep,Grand Cherokee,2016,0
304081,32,105,2013-04-08,A,100/300,500,1177.51,4000000,423052,MALE,Associate,machine-op-inspct,yachting,other-relative,82182,0,2026-03-26,Vehicle Theft,?,Trivial Damage,Police,S2,Arlington,8,1,?,1,3,NO,5101.650000000001,797,399,2806,Ford,F150,2021,0
378562,54,375,2010-04-04,B,250/500,500,1423.61,0,601915,FEMALE,High School,craft-repair,movies,own-child,51500,0,2026-02-01,Vehicle Theft,?,Trivial Damage,Police,S5,Hillsdale,9,1,NO,1,0,NO,9450.0,1081,1066,4817,Audi,A5,2010,0
537941,40,240,2024-09-12,B,250/500,1000,1591.34,0,597144,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,2026-01-22,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Riverwood,16,1,?,0,0,YES,70274.25,5339,5350,43270,Saab,92x,2026,0
409814,25,32,2025-11-11,A,100/300,2000,1203.6,6000000,446015,MALE,JD,other-service,polo,not-in-family,0,-81396,2026-02-14,Single Vehicle Collision,Side Collision,Total Loss,Fire,S4,Northbrook,16,1,?,1,2,?,60257.25000000001,8781,4481,33315,Toyota,Corolla,2020,0
137670,46,277,2010-07-05,C,500/1000,2000,1149.47,7000000,465600,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-52650,2025-12-21,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S2,Northbrook,12,1,?,2,0,?,102770.1,11466,11700,50438,Chevrolet,Silverado,2008,0
